tract,Name,Household_Income_rP_gP_p25
24510090600,"Coldstream - Homestead - Montebello, Baltimore, MD",19677
24510150600,"NW Community Action, Baltimore, MD",19552
24510250203,"Cherry Hill, Baltimore, MD",19508
24510260303,"Claremont - Freedom, Baltimore, MD",19396
24510130300,"Penn North, Baltimore, MD",19377
24510060400,"Baltimore, MD",19360
24510160200,"Sandtown-Winchester, Baltimore, MD",19311
24510271001,"Baltimore, MD",19162
24510080102,"Belair - Edison, Baltimore, MD",19078
24510080700,"Broadway East, Baltimore, MD",19032
24510150400,"Mondawmin, Baltimore, MD",19004
24510140200,"Upton, Baltimore, MD",18934
24510230100,"Baltimore, MD",18931
24510200500,"Mill Hill, Baltimore, MD",18890
24510210100,"Pigtown, Baltimore, MD",18850
24510090800,"East Baltimore Midway, Baltimore, MD",18844
24510090900,"Oliver, Baltimore, MD",18835
24510070200,"Madison - Eastend, Baltimore, MD",18810
24510070400,"Gay Street, Baltimore, MD",18807
24510080200,"Broadway East, Baltimore, MD",18770
24510250301,"Westport, Baltimore, MD",18573
24510080301,"Berea, Baltimore, MD",18557
24510200200,"Lexington, Baltimore, MD",18502
24510100200,"Baltimore, MD",18460
24510250204,"Cherry Hill, Baltimore, MD",18415
24510200400,"Shipley Hill, Baltimore, MD",18371
24510280500,"Pleasant View Gardens, Baltimore, MD",18247
24510060100,"Patterson Park, Baltimore, MD",18239
24510140300,"Druid Heights, Baltimore, MD",18178
24510190100,"Franklin Square, Baltimore, MD",18005
24510110100,"Downtown, Baltimore, MD",17893
24510150100,"Sandtown-Winchester, Baltimore, MD",17497
24510080800,"Broadway East, Baltimore, MD",17249
24510130100,"Reservoir Hill, Baltimore, MD",17236
24510180100,"Poppleton, Baltimore, MD",17003
24510070300,"Milton - Montford, Baltimore, MD",16683
24510100100,"Johnson Square, Baltimore, MD",16364
